port1,port2,port3,port4,port5
10952.0,10952.0,11312.0,11032.0,11312.0
480.0,480.0,480.0,480.0,480.0
760.0,1000.0,480.0,760.0,760.0
480.0,480.0,760.0,480.0,480.0
980.0,980.0,980.0,980.0,980.0
480.0,480.0,720.0,480.0,480.0
720.0,480.0,480.0,720.0,720.0
480.0,480.0,480.0,480.0,480.0
480.0,345216.0,480.0,480.0,480.0
480.0,3084960.0,480.0,480.0,480.0
480.0,4966408.0,480.0,760.0,480.0
760.0,9272064.0,480.0,480.0,760.0
1220.0,11322836.0,1500.0,1220.0,1220.0
480.0,13802016.0,480.0,480.0,480.0
480.0,15429168.0,480.0,480.0,480.0
4911456.0,10850592.0,480.0,480.0,480.0
5153376.0,13402848.0,720.0,480.0,720.0
5135472.0,13342368.0,480.0,720.0,480.0
5141280.0,13384704.0,480.0,480.0,480.0
5153376.0,13390992.0,480.0,480.0,480.0
5135232.0,13348416.0,480.0,480.0,480.0
5147568.0,13384704.0,720.0,480.0,720.0
5153376.0,13396800.0,480.0,720.0,480.0
5141280.0,13372848.0,480.0,480.0,480.0
964360.0,12999640.0,480.0,480.0,6528.0
480.0,10300224.0,720.0,6528.0,480.0
720.0,10276032.0,480.0,720.0,720.0
760.0,10300224.0,480.0,480.0,480.0
980.0,10300964.0,980.0,1260.0,980.0
480.0,7347680.0,480.0,480.0,6808.0
720.0,7203648.0,1000.0,480.0,720.0
480.0,4687080.0,6528.0,720.0,480.0
480.0,3091248.0,480.0,480.0,480.0
480.0,3084960.0,480.0,480.0,480.0
